,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
274,10285,5265.763713,1.0,410.24,44.71,365.53,15452.97758,0.916667,0.083333,0.916667,0.333333,13,21,16500.0,12005.3074,1055.547896,0.083333,12,Target
280,10291,7645.108426999999,1.0,4693.15,4332.65,360.5,0.0,0.5,0.416667,0.333333,0.0,0,12,13500.0,4786.648679999999,1741.1580239999998,0.0,12,Target
289,10300,5469.851311,1.0,0.0,0.0,0.0,512.792701,0.0,0.0,0.0,0.166667,3,0,6000.0,1362.9667980000002,2019.0278829999997,0.0,12,Target
291,10302,5790.930625999999,1.0,464.51,399.41,65.1,2516.727082,0.416667,0.25,0.166667,0.166667,6,10,6000.0,1515.594331,2092.915898,0.0,12,Target
297,10308,5547.092593,1.0,0.0,0.0,0.0,3298.958165,0.0,0.0,0.0,0.083333,2,0,12000.0,1786.142816,1351.998523,0.0,12,Target
302,10313,4338.606862,1.0,0.0,0.0,0.0,1817.569093,0.0,0.0,0.0,0.083333,4,0,8000.0,8019.800702,964.118618,0.0,12,Target
304,10315,9261.310686,1.0,0.0,0.0,0.0,8603.045938,0.0,0.0,0.0,0.416667,10,0,11000.0,1933.4139079999998,2576.552758,0.0,12,Target
316,10327,4823.822993,0.857143,0.0,0.0,0.0,6481.300951,0.0,0.0,0.0,0.14285699999999998,4,0,7000.0,863.62306,1148.631716,0.0,7,Target
320,10331,4732.37354,1.0,14.95,0.0,14.95,2173.356068,0.083333,0.0,0.083333,0.416667,11,1,5700.0,1289.284068,1172.289863,0.0,12,Target
321,10332,9206.811695999999,1.0,874.98,350.0,524.98,4653.693195000001,0.75,0.083333,0.666667,0.333333,9,16,12500.0,2055.100879,2199.0777160000002,0.0,12,Target
322,10333,6719.376504999999,1.0,0.0,0.0,0.0,2443.262416,0.0,0.0,0.0,0.333333,7,0,7500.0,1493.089193,2488.976669,0.0,12,Target
352,10364,8939.461145000001,1.0,2490.17,905.17,1585.0,5309.949725,0.5,0.166667,0.416667,0.5,11,8,9500.0,3957.017497,4951.58548,0.0,12,Target
357,10369,5135.604593,1.0,110.18,0.0,110.18,6551.99521,0.333333,0.0,0.333333,0.333333,17,4,6000.0,1716.9984239999999,2463.472147,0.0,12,Target
367,10379,5747.761139,1.0,1627.69,0.0,1627.69,0.0,1.0,0.0,1.0,0.0,0,49,5500.0,2507.7047469999998,7490.453967,0.0,12,Target
368,10380,7760.940543000001,1.0,0.0,0.0,0.0,3423.085934,0.0,0.0,0.0,0.5,10,0,8000.0,2845.010795,2459.741299,0.0,12,Target
369,10381,6388.1084869999995,1.0,0.0,0.0,0.0,3768.6966780000002,0.0,0.0,0.0,0.25,3,0,8000.0,10973.14532,2384.817152,0.083333,12,Target
371,10383,8806.866629,1.0,1490.94,0.02,1490.92,2813.063846,1.0,0.166667,1.0,0.166667,4,25,9000.0,2116.662516,3598.719728,0.0,12,Target
376,10388,11278.95243,1.0,6855.59,2762.92,4092.67,0.0,0.916667,0.75,0.833333,0.0,0,39,18500.0,4868.088671,2861.890896,0.0,12,Target
380,10392,12474.72954,1.0,136.88,0.0,136.88,515.147607,0.166667,0.0,0.166667,0.166667,2,2,14000.0,3519.0088590000005,3430.627754,0.0,12,Target
387,10400,7957.017218000001,1.0,0.0,0.0,0.0,4909.937494,0.0,0.0,0.0,0.25,4,0,9000.0,677.144841,27631.450719999997,0.0,12,Target
393,10407,11209.37076,1.0,11147.33,1137.4,10009.93,2728.576925,1.0,0.25,1.0,0.166667,8,126,11000.0,7932.774020000001,17494.90735,0.0,12,Target
396,10410,4543.789386,1.0,255.12,5.0,250.12,0.0,0.666667,0.25,0.5,0.0,0,11,8500.0,1703.3321260000002,1121.510137,0.0,12,Target
398,10412,5066.744231000001,1.0,0.0,0.0,0.0,1974.503664,0.0,0.0,0.0,0.25,6,0,13000.0,1336.016317,1606.9633789999998,0.0,12,Target
404,10419,5523.999416,1.0,0.0,0.0,0.0,4087.167822,0.0,0.0,0.0,0.25,4,0,8000.0,0.0,312.343947,0.0,12,Target
413,10428,4664.023286,1.0,340.0,340.0,0.0,3510.1157350000003,0.083333,0.083333,0.0,0.25,8,1,6000.0,2162.141639,2009.821743,0.0,12,Target
416,10431,9335.31417,1.0,226.23,226.23,0.0,0.0,0.166667,0.166667,0.0,0.0,0,5,15000.0,1885.239981,4980.192685,0.0,12,Target
417,10432,6404.955911999999,1.0,3970.8,2267.0,1703.8,0.0,1.0,0.583333,0.916667,0.0,0,64,7500.0,3879.2525119999996,1868.983718,0.0,12,Target
423,10438,6032.740390999999,1.0,7553.48,2643.53,4909.95,0.0,0.916667,0.75,1.0,0.0,0,85,13500.0,5377.338091,1365.123434,0.0,12,Target
428,10444,6822.877573000001,1.0,137.34,137.34,0.0,4815.112874,0.083333,0.083333,0.0,0.666667,16,1,10000.0,1874.9548940000002,1716.092764,0.0,12,Target
429,10445,8647.057641,1.0,0.0,0.0,0.0,5105.254316,0.0,0.0,0.0,0.416667,14,0,10000.0,2052.533488,1886.2233609999998,0.0,12,Target
430,10446,5055.582822,1.0,0.0,0.0,0.0,3435.737817,0.0,0.0,0.0,0.090909,1,0,9000.0,6918.272206000001,1035.039239,0.0,11,Target
433,10449,4855.340797,1.0,0.0,0.0,0.0,1886.470361,0.0,0.0,0.0,0.083333,2,0,6000.0,2996.735376,1855.7662260000002,0.0,12,Target
435,10451,7057.658848,1.0,360.7,360.7,0.0,6517.5418119999995,0.083333,0.083333,0.0,0.333333,15,2,8000.0,5147.693822,2610.0538850000003,0.0,12,Target
436,10452,4264.307261,1.0,222.64,0.0,222.64,249.29820800000002,0.916667,0.0,0.833333,0.25,3,11,4500.0,1017.2418550000001,1225.908506,0.0,12,Target
437,10453,4503.390811,1.0,1634.74,1376.0,258.74,94.837161,1.0,0.333333,1.0,0.083333,1,38,13000.0,1094.3453359999999,1194.234398,0.0,12,Target
439,10455,4479.115547,1.0,759.15,759.15,0.0,2493.1117050000003,1.0,1.0,0.0,0.25,6,12,6000.0,994.5004949999999,1384.1114929999999,0.0,12,Target
441,10457,7386.704481000001,0.9,0.0,0.0,0.0,10713.8746,0.0,0.0,0.0,0.4,14,0,10500.0,7566.577762999999,1943.431564,0.1,10,Target
445,10461,5580.530306000001,1.0,2470.4,457.73,2012.67,1652.8788949999998,0.5,0.083333,0.5,0.083333,1,19,9500.0,3340.0412739999997,3024.949485,0.0,12,Target
451,10469,4994.04832,1.0,2506.89,2506.89,0.0,0.0,0.75,0.75,0.0,0.0,0,30,8500.0,1230.2193960000002,1646.973276,0.0,12,Target
452,10470,4700.106602000001,1.0,2570.0,492.46,2077.54,124.563782,0.75,0.166667,0.666667,0.166667,2,40,4500.0,3259.958288,5620.2951920000005,0.0,12,Target
453,10471,9601.071318,1.0,238.34,0.0,238.34,4809.11955,0.833333,0.0,0.833333,1.0,8,5,15000.0,1194.5107619999999,1206.257247,0.0,6,Target
465,10484,4458.0551590000005,1.0,0.0,0.0,0.0,2806.959645,0.0,0.0,0.0,0.583333,18,0,7500.0,1088.755323,1189.693931,0.0,12,Target
468,10487,6426.639738,1.0,4462.86,2816.46,1646.4,4599.625146,1.0,0.833333,0.916667,0.333333,11,103,11800.0,1793.0432280000002,3101.01703,0.0,12,Target
470,10489,5810.748774000001,1.0,217.0,217.0,0.0,12377.36037,0.166667,0.166667,0.0,0.583333,16,2,9000.0,10428.37611,1599.353926,0.166667,12,Target
488,10510,6856.045926000001,1.0,262.1,262.1,0.0,3053.777459,0.166667,0.166667,0.0,0.333333,13,5,13000.0,1629.239381,1998.044046,0.0,12,Target
490,10512,4263.008734,1.0,3522.57,1482.0,2040.57,2485.845274,1.0,0.333333,1.0,0.25,6,25,6000.0,1165.621928,1520.54755,0.0,12,Target
491,10513,10249.71178,1.0,0.0,0.0,0.0,2438.3567190000003,0.0,0.0,0.0,0.333333,9,0,18000.0,2662.365409,2539.198217,0.0,12,Target
495,10517,12478.172859999999,1.0,174.0,174.0,0.0,3269.418821,0.25,0.25,0.0,0.666667,21,3,14000.0,3251.190662,3872.0994979999996,0.0,12,Target
501,10523,13479.288209999999,1.0,41050.4,40624.06,426.34,0.0,0.833333,0.666667,0.416667,0.0,0,157,17000.0,36066.750680000005,15914.48462,0.083333,12,Target
509,10532,5036.8705310000005,1.0,1752.15,1564.16,187.99,1072.351863,1.0,0.916667,0.583333,0.25,4,53,10300.0,1489.5975740000001,1549.64691,0.0,12,Target
513,10536,4914.325665,1.0,1653.6,353.6,1300.0,1442.395734,0.75,0.25,0.583333,0.166667,3,14,5000.0,3410.2533780000003,3451.7021600000003,0.0,12,Target
520,10544,15258.2259,1.0,529.3,529.3,0.0,4100.891579,0.5,0.5,0.0,1.0,23,10,19000.0,2051.14647,3905.740148,0.0,8,Target
521,10545,4497.213951,1.0,2001.19,210.43,1790.76,0.0,1.0,0.083333,1.0,0.0,0,30,4500.0,3058.768463,5067.863222999999,0.0,12,Target
524,10548,4507.733288,1.0,4754.32,3636.53,1117.79,0.0,1.0,0.833333,0.75,0.0,0,43,9500.0,1924.73689,957.077692,0.0,12,Target
526,10550,5083.397311,1.0,331.95,331.95,0.0,10384.82416,0.2,0.2,0.0,0.8,31,2,8000.0,4453.691497,1088.9599640000001,0.0,10,Target
537,10561,7190.047748000001,1.0,1549.61,1549.61,0.0,3269.100834,0.666667,0.666667,0.0,0.75,11,19,17500.0,1727.425472,1770.058766,0.0,12,Target
539,10563,5066.461251,1.0,2274.21,1282.85,991.36,2854.5513579999997,1.0,0.666667,1.0,0.75,23,60,5000.0,5174.255034000001,6174.387335,0.0,12,Target
545,10569,5178.179489,1.0,3937.59,2606.42,1331.17,0.0,1.0,0.75,0.833333,0.0,0,54,9500.0,1248.498168,1143.849403,0.0,12,Target
550,10574,11547.52001,1.0,49039.57,40761.25,8278.32,558.166886,1.0,1.0,0.916667,0.083333,1,101,22500.0,46930.59824,2974.069421,0.25,12,Target
551,10575,8997.488544,1.0,4604.72,4020.33,584.39,1854.533843,0.916667,0.666667,0.75,0.166667,8,46,9000.0,4201.889848,7060.930981999999,0.0,12,Target
552,10576,9149.4096,1.0,227.8,227.8,0.0,5583.937965,0.333333,0.333333,0.0,0.666667,13,4,9500.0,6710.905443000001,6510.915661,0.0,12,Target
557,10581,5404.202992,1.0,469.0,286.0,183.0,8005.225079999999,0.666667,0.166667,0.333333,0.833333,52,4,7000.0,2676.4674440000003,1468.4752039999998,0.0,6,Target
558,10582,5484.800475999999,1.0,0.0,0.0,0.0,1239.217984,0.0,0.0,0.0,0.666667,8,0,6000.0,2060.020446,1306.960035,0.0,12,Target
565,10589,4546.766836,1.0,3525.37,0.0,3525.37,0.0,1.0,0.0,1.0,0.0,0,66,15000.0,14083.96809,1442.933291,0.25,12,Target
569,10593,9559.783145,1.0,709.0,709.0,0.0,771.711794,0.3,0.3,0.0,0.3,3,3,10500.0,2447.227264,2042.0944600000003,0.0,10,Target
576,10600,7295.920263,1.0,0.0,0.0,0.0,721.214369,0.0,0.0,0.0,0.25,4,0,7500.0,1984.3510350000001,3082.801095,0.0,12,Target
577,10601,7975.19143,1.0,1142.15,1017.65,124.5,2652.115823,0.5,0.333333,0.25,0.25,3,10,9000.0,2079.521171,2902.18515,0.0,12,Target
582,10606,7088.358802,1.0,0.0,0.0,0.0,3118.050456,0.0,0.0,0.0,0.083333,2,0,7500.0,4539.526102000001,2183.319473,0.0,12,Target
583,10607,4458.045588,1.0,0.0,0.0,0.0,2846.034435,0.0,0.0,0.0,0.166667,6,0,5000.0,985.516901,1708.136351,0.0,12,Target
585,10609,15244.74865,1.0,7823.74,7564.81,258.93,2621.049473,1.0,1.0,1.0,0.083333,2,62,19000.0,11123.40918,4467.520243999999,0.0,12,Target
591,10616,8781.831676,1.0,11674.64,9400.96,2273.68,0.0,1.0,1.0,0.916667,0.0,0,93,16000.0,10377.3612,2372.97281,0.0,12,Target
597,10622,5935.917803,1.0,1956.06,1777.14,178.92,0.0,0.916667,0.916667,0.333333,0.0,0,48,11500.0,1553.147417,1338.0823369999998,0.0,12,Target
602,10627,6980.581442000001,1.0,0.0,0.0,0.0,11549.11174,0.0,0.0,0.0,0.416667,15,0,14500.0,1498.338478,1536.151742,0.0,12,Target
606,10631,6787.661776000001,1.0,99.5,0.0,99.5,7726.511679000001,0.833333,0.0,0.75,0.416667,10,10,8000.0,1775.13958,2293.582697,0.0,12,Target
610,10635,7155.3287230000005,1.0,3837.59,1860.18,1977.41,14811.688180000001,1.0,0.916667,1.0,0.916667,51,52,9500.0,17739.94594,2500.582848,0.0,12,Target
613,10638,5380.796813,1.0,1710.24,817.32,892.92,2292.800636,1.0,0.416667,1.0,0.25,6,43,6000.0,1572.990843,3215.7719190000003,0.0,12,Target
615,10640,8900.194109,1.0,0.0,0.0,0.0,4849.693752,0.0,0.0,0.0,0.916667,52,0,12000.0,2430.8641390000003,2452.882838,0.0,12,Target
622,10647,5248.3924210000005,1.0,8403.17,7469.7,933.47,3141.100688,0.833333,0.666667,0.75,0.5,12,117,13000.0,8495.972926999999,1183.069705,0.25,12,Target
634,10659,4925.502001,1.0,3050.72,989.14,2061.58,10901.298270000001,0.583333,0.333333,0.333333,0.416667,24,16,11500.0,21320.89625,3913.712987,0.166667,12,Target
637,10662,5347.377116,0.545455,0.0,0.0,0.0,9671.336737,0.0,0.0,0.0,0.083333,1,0,10500.0,3239.303839,3614.801495,0.0,12,Target
643,10669,14411.957980000001,1.0,5958.17,3161.46,2796.71,0.0,1.0,0.583333,1.0,0.0,0,98,15000.0,7839.750264,8096.7950200000005,0.0,12,Target
646,10672,6014.8068060000005,1.0,433.63,433.63,0.0,2433.9871989999997,0.25,0.25,0.0,0.583333,13,5,7000.0,1534.75789,1663.455756,0.0,12,Target
647,10673,5619.1570280000005,1.0,2790.76,2549.25,241.51,0.0,1.0,1.0,0.333333,0.0,0,36,14000.0,1778.2840670000003,1355.651702,0.0,12,Target
652,10678,7760.5254,1.0,14332.92,10588.97,3743.95,0.0,1.0,0.909091,0.909091,0.0,0,152,16000.0,7116.531862000001,2117.1860829999996,0.0,11,Target
669,10696,10359.45471,1.0,12650.0,12650.0,0.0,2781.6822030000003,0.25,0.25,0.0,0.166667,2,10,10500.0,7566.470234,9170.428051,0.0,12,Target
676,10703,5941.847384000001,1.0,0.0,0.0,0.0,744.138154,0.0,0.0,0.0,0.166667,2,0,7000.0,1756.829998,2166.204489,0.0,12,Target
679,10706,7025.757291,1.0,66.32,66.32,0.0,8733.135565999999,0.083333,0.083333,0.0,0.583333,16,1,9000.0,9547.622542000001,2385.432813,0.0,12,Target
681,10708,5656.069801,1.0,362.36,362.36,0.0,7240.433194,0.25,0.25,0.0,1.25,12,2,8000.0,683.4214969999999,2036.877611,0.0,8,Target
696,10723,7006.751866,1.0,328.92,328.92,0.0,9497.696525,0.166667,0.166667,0.0,0.666667,12,2,10000.0,659.559695,1400.681628,0.0,6,Target
697,10724,4414.952906,1.0,419.64,0.0,419.64,0.0,1.0,0.0,1.0,0.0,0,12,4200.0,467.20485199999996,24302.09819,0.0,12,Target
708,10735,13763.473580000002,1.0,9670.84,6701.08,2969.76,1896.204934,1.0,0.75,1.0,0.166667,2,88,17500.0,24199.111080000002,3039.137305,0.083333,12,Target
710,10737,5422.456378,1.0,0.0,0.0,0.0,9972.234861,0.0,0.0,0.0,0.166667,2,0,14000.0,1661.693077,1949.814235,0.0,12,Target
716,10743,7811.234173999999,1.0,0.0,0.0,0.0,6372.109273,0.0,0.0,0.0,0.333333,8,0,16000.0,2322.058763,1831.024986,0.0,12,Target
721,10748,4881.822347,1.0,0.0,0.0,0.0,223.95304199999998,0.0,0.0,0.0,0.25,3,0,8500.0,1227.062915,1208.463027,0.0,12,Target
723,10750,13774.74154,1.0,404.24,0.0,404.24,3369.4745350000003,0.25,0.0,0.25,0.5,7,3,14500.0,3167.870886,3533.4648,0.0,12,Target
726,10753,6713.551391,1.0,7590.08,7403.57,186.51,1596.569821,0.666667,0.666667,0.166667,0.166667,4,81,10000.0,2344.430467,4676.633767,0.0,12,Target
731,10758,4834.586867,1.0,0.0,0.0,0.0,56.747353000000004,0.0,0.0,0.0,0.1,1,0,5500.0,874.365824,1582.515056,0.0,10,Target
735,10762,7715.659048,1.0,0.0,0.0,0.0,6182.982033,0.0,0.0,0.0,1.0,62,0,11500.0,1777.003806,2412.544026,0.0,12,Target
739,10766,5603.045332,1.0,0.0,0.0,0.0,2909.490912,0.0,0.0,0.0,0.416667,6,0,7500.0,6135.140807,2279.351491,0.0,12,Target
754,10782,4193.283047,1.0,183.7,183.7,0.0,1585.714709,0.25,0.25,0.0,0.166667,4,4,10500.0,1030.0934619999998,1116.001393,0.0,12,Target
755,10783,10397.099890000001,1.0,0.0,0.0,0.0,4045.620171,0.0,0.0,0.0,0.25,6,0,13000.0,3222.169406,2818.7074789999997,0.0,12,Target
757,10785,5499.895765,1.0,0.0,0.0,0.0,485.26998499999996,0.0,0.0,0.0,0.333333,6,0,6000.0,1445.2944929999999,2703.217084,0.0,12,Target
760,10788,5271.415483,1.0,0.0,0.0,0.0,2193.804998,0.0,0.0,0.0,0.25,7,0,6500.0,1479.003541,1321.46938,0.0,12,Target
762,10790,5639.464394,1.0,717.18,399.15,318.03,3856.971744,0.416667,0.166667,0.25,0.75,16,7,7000.0,1460.6522539999999,1540.175186,0.0,12,Target
763,10791,5308.90635,1.0,0.0,0.0,0.0,4954.608429,0.0,0.0,0.0,0.5,21,0,9500.0,1334.749456,1272.080547,0.0,12,Target
768,10796,9470.18498,1.0,49.19,0.0,49.19,4078.303778,0.416667,0.0,0.416667,0.25,6,5,12000.0,2230.9571960000003,2672.6055309999997,0.0,12,Target
779,10808,4343.537475,1.0,1326.3,1326.3,0.0,1123.247578,1.0,1.0,0.0,0.166667,2,23,4500.0,1373.689245,3414.2201240000004,0.0,12,Target
